code	name	total	0-9	9-19	19-29	29-39	39-49	49-59	59-69	69-79	80+
170110	Aparecida do Rio Negro	4848	882	737	750	739	662	470	321	197	90
170130	Aragominas	5731	913	785	850	765	814	719	534	265	86
170190	Araguacema	7155	1117	1078	1263	1016	919	839	538	261	124
170200	Araguaçu	8467	996	1065	1254	1214	1367	1119	774	450	228
170210	Araguaína	183381	27420	33258	33427	32822	23883	15548	9596	5004	2423
170215	Araguanã	5793	1061	934	1070	781	715	587	362	192	91
170220	Araguatins	36170	6724	6297	6439	5529	4429	3074	2000	1142	536
170230	Arapoema	6616	1016	987	1226	919	907	689	488	266	118
170240	Arraias	10534	1667	1461	1936	1598	1366	1053	787	431	235
170255	Augustinópolis	18643	3339	3215	3344	3194	2191	1435	1020	616	289
170270	Aurora do Tocantins	3783	531	542	569	581	567	420	281	198	94
170290	Axixá do Tocantins	9787	1730	1667	1718	1526	1196	882	547	338	183
170300	Babaçulândia	10666	1452	1530	1730	1664	1593	1286	813	398	200
170305	Bandeirantes do Tocantins	3592	569	627	629	510	516	355	206	131	49
170307	Barra do Ouro	4632	894	755	890	654	573	387	264	148	67
170310	Barrolândia	5651	763	845	907	895	812	652	419	242	116
170320	Bernardo Sayão	4448	673	666	785	616	632	552	279	183	62
170330	Bom Jesus do Tocantins	5008	960	895	1031	828	534	363	244	100	53
170360	Brasilândia do Tocantins	2211	336	353	355	301	327	257	145	86	51
170370	Brejinho de Nazaré	5519	858	851	937	834	696	566	395	241	141
170380	Buriti do Tocantins	11497	1871	1833	2151	2229	1342	921	622	367	161
170382	Cachoeirinha	2284	440	355	407	322	286	206	151	75	42
170384	Campos Lindos	10312	2324	1939	2069	1549	1071	679	413	189	79
170386	Cariri do Tocantins	4441	588	663	777	735	673	476	285	165	79
170388	Carmolândia	2603	441	423	460	354	321	288	189	94	33
170389	Carrasco Bonito	4130	848	787	709	594	417	356	231	128	60
170390	Caseara	5442	907	824	874	773	771	633	401	192	67
170410	Centenário	2936	459	465	528	424	354	321	202	124	59
170510	Chapada da Natividade	3331	545	477	588	438	379	428	236	174	66
170460	Chapada de Areia	1410	202	180	201	187	212	187	135	79	27
170550	Colinas do Tocantins	35851	5437	6051	6263	5868	4878	3508	2145	1143	558
171670	Colméia	8141	1103	1098	1364	1192	1203	987	657	368	169
170555	Combinado	4861	747	720	777	836	691	539	310	169	72
170560	Conceição do Tocantins	4087	730	612	730	519	468	448	279	201	100
170600	Couto Magalhães	5639	996	903	903	836	755	610	393	177	66
170610	Cristalândia	7278	920	994	1084	1015	1087	982	644	335	217
170625	Crixás do Tocantins	1735	233	248	264	216	306	206	151	82	29
170650	Darcinópolis	6174	1127	966	1074	940	796	534	408	219	110
170700	Dianópolis	22424	3808	3763	4357	3595	2803	1947	1180	648	323
170710	Divinópolis do Tocantins	6943	1010	978	1117	995	966	818	601	310	148
170720	Dois Irmãos do Tocantins	7185	965	893	1033	1049	1145	955	655	334	156
170730	Dueré	4686	684	673	728	639	649	556	407	231	119
170740	Esperantina	11139	2251	1931	2095	1795	1262	821	596	272	116
170755	Fátima	3830	538	553	599	569	548	410	320	194	99
170765	Figueirópolis	5243	626	644	778	733	807	768	472	275	140
